source,complaint_description,total_requests
CSR - Follow On SR,HPD - Neighborhood Home Programs,1
Mobile Device,Animal Protection - Dangerous Dog Complaint,1
Interface,Street Lights New,1
Other,ATD - Parking Violation Enforcement,1
Mobile Device,Water Waste Report,1
Radio,Sign - Parking Sign Maintenance,1
Other,SBO - Alley & Unpaved Street Maintenance,1
Interface,Obstruction in ROW,1
Interface,View Obstruction at Intersection,1
E-Mail,Zz_ATD - Concerns in Right of Way,1
Open311,ATD - Road Markings/Striping - Maintenance,1
CSR - Follow On SR,Park Maintenance - Building Issues,1
Field Request,Mowing Medians,1
E-Mail,WPD - Lost Item in Storm Drainage System,1
Web,SBO - Roadway Spillage,1
Field Request,Street Lights New,1
CSR - Follow On SR,Construction Items- ROW,1
Mobile Created,ATD - Traffic Sign Maintenance,1
Other,Street Light Issue- Multiple poles/multiple streets,1
Other,ARR Missed Recycling,1
Mobile Device,Animal Bite,1
Spot311 Interface,ARR Missed Yard Trimmings /Organics,1
Web,DSD - Billboard Complaint,1
Web,ZZ Creek & Pond Vegetation Control,1
Mobile Device,Zz_ATD - Construction Items in Right of Way,1
Fax,Animal Bite,1
Mass Entry,Bicycle Issues,1
E-Mail,WPD - Erosion,1
E-Mail,Animal Protection - Animal In Vehicle,1
Web,Flooding - Past,1
Social Media,ATD - Road Markings/Striping - New,1
Phone,DSD - Construction Rest Break Complaint,1
Field Request,ARR Missed Recycling,1
Spot311 Interface,Zz_Traffic Engineering - General,1
Spot311 Interface,ZZ Mowing City Parks,1
Phone,ZZZ - Storm Drain Pipe Services,1
Web,Found Animal - Pick Up,1
E-Mail,Tree Issue ROW/Maintenance (PW),1
Mail,Traffic Engineering - General,1
Mobile Created,Injured / Sick Animal,1
Field Request,Traffic Signal - New/Change,1
Other,SBO - New Sidewalk/Curb Ramp/Route,1
Social Media,ATD - Traffic Signal Maintenance,1
Mobile Device,SBO - Roadway Spillage,1
Open311,School Zone Flasher - Timing/Maintenance,1
Web,ARR - Recycling,1
CSR - Follow On SR,Tree Issue ROW/Maintenance (PARD),1
E-Mail,ATD - Construction Concerns in Right of Way,1
Mobile Device,Park Maintenance - Building A/C & Heating Issues,1
Mobile Device,SBO - Pothole Repair,1
Phone,Zz_Loud Commercial Music,1
CSR - Follow On SR,Animal Roadside Sales,1
Mobile Device,ACD - Short Term Rental Complaint,1
Mail,View Obstruction at Intersection,1
Other,TARA - Telecommunication Complaint,1
CSR - Follow On SR,Wildlife Exposure,1
Field Request,Standing Water,1
Mobile Device,WPD - Ditch/Driveway Pipe Services,1
CSR - Follow On SR,Flooding  Current (Non-Emergency),1
Interface,Road Markings/Striping - New,1
Web,ARR - Compost,1
Mobile Device,ERM - Harmful Algae,1
Spot311 Interface,Animal Protection - Dangerous Dog Complaint,1
E-Mail,ATD - Shared Micromobility,1
Mobile Created,Concerns in the ROW,1
Web,ARR Missed Recycling,1
Mobile Device,ZZ Park Maintenance - Pool Issues,1
E-Mail,Pet Resource Center - Assistance Request,1
Other,ARR - On Call Bulk,1
Spot311 Interface,ARR - Bulk,1
Web,ARR Brush and Bulk,1
Other,PARD - Aquatic Maintenance,1
E-Mail,Construction Items- ROW,1
E-Mail,ARR - Household Hazardous Waste,1
CSR - Follow On SR,Standing Water,1
E-Mail,Sign - School Zone Sign Maintenance,1
PremierOne CSR Mob,APD - Vehicle Abatement Report,1
Mobile Device,ZZ Mowing Medians,1
External Interface,ATD - Traffic Signal - New/Modification,1
Open311,Loose Dog,1
E-Mail,ZZ AFD - Fireworks Complaint,1
Mass Entry,Obstruction in ROW,1
Other,ATD - Construction Items in Right of Way,1
Voice Mail,ARR Missed Recycling,1
Spot311 Interface,Street Resurfacing,1
CSR - Follow On SR,Sidewalk/Curb Ramp/Route - NEW,1
Phone,Heat Advisory,1
Other,Fence/Wall Repair,1
Open311,Construction Items in ROW,1
Other,Ditch/Driveway Pipe Services,1
CSR - Follow On SR,Parking Machine Issue,1
Phone,ACD - Coronavirus,1
Phone,ZZ ARR - On Call Brush,1
CSR - Follow On SR,Flooding - Past,1
Mass Entry,Debris in Street,1
E-Mail,ATD - Pay-by-Phone App,1
Social Media,Sidewalk/Curb Ramp/Route - NEW,1
Web,ACD - Case Updates/Code Connect Messages,1
Other,Standing Water,1
External Interface,AFD - Wildfire Concern / Presentation,1
CSR - Follow On SR,Animal Bite,1
Mobile Device,ZZ Mowing City Parks,1
Other,Traffic Calming,1
E-Mail,SBO - Curb/Gutter Repair,1
Other,Found Animal - Pick Up,1
CSR - Follow On SR,ARR - General,1
Interface,Traffic Engineering - General,1
Mobile Device,PW - School Issues - Crossing Guards,1
E-Mail,311 CC - Other,1
Open311,AFD - Wildfire Concern / Presentation,1
Mobile Device,Animal Trapped in Storm Drain,1
Other,Curb/Gutter Repair,1
CSR - Follow On SR,Street Light Issue- Multiple poles/multiple streets,1
Spot311 Interface,Street Light Issue- Multiple poles/multiple streets,1
Other,Lane/Road Closure Notification,1
Mobile Device,ZZZ ARR Street Sweeping,1
Mass Entry,Sidewalk Repair,1
Spot311 Interface,Park Maintenance - Pool Issues,1
Spot311 Interface,View Obstruction at Intersection,1
Other,SBO - Guardrail New/Repair,1
Spot311 Interface,Street Lights New,1
Spot311 Interface,Water Theft Report,1
Social Media,ARR Missed Recycling,1
Radio,View Obstruction at Intersection,1
E-Mail,Animal Protection - Vicious Dog Complaint,1
Mass Entry,ARR Dead Animal Collection,1
Mobile Device,HSEM - Heat Advisory,1
E-Mail,SBO - Roadway Spillage,1
Spot311 Interface,AE Street Light Issue - No Address,1
Radio,Parking Violation Enforcement,1
External Interface,ATD - Shared Micromobility,1
Mobile Created,Residential Parking Permit Enforcement,1
Web,ATD - Traffic Signal Maintenance,1
Mobile Created,Guardrail New/Repair,1
Open311,Zz_Loud Commercial Music,1
Radio,ARR - General,1
Web,Roadway Spillage,1
Open311,ACD - Request Code Officer,1
Mobile Device,Animal Protection - Vicious Dog Complaint,1
Mail,Sign - Street Name,1
Other,Parking Permit- ROW,1
Other,Animal Roadside Sales,1
Social Media,ARR Dead Animal Collection,1
Walk In,Debris in Street,1
Field Request,Tree Issue ROW/Emergency (PW),1
E-Mail,SBO - Guardrail New/Repair,1
Other,SBO - Street and Bridge Miscellaneous,1
Web,Drainage - Miscellaneous,1
Other,Street Lights New,1
CSR - Follow On SR,Park Maintenance - Building A/C & Heating Issues,1
Social Media,ATD - Parking Violation Enforcement,1
Open311,Public Health - Environmental Services - City,1
Open311,WPD - Channels/Creek/Drainage Issues,1
Web,PARD - Aquatic Inquiries/Issues,1
Field Request,Alley & Unpaved Street Maintenance,1
Mobile Created,Shared Micromobility,1
Field Request,Sign - Street Name,1
Voice Mail,Corridor Program Office - Corridor Feedback,1
Mobile Device,ARR Missed Recycling,1
Phone,Dead Bird,1
E-Mail,Park Maintenance - Building A/C & Heating Issues,1
Mobile Created,ACD - Request Code Officer,1
Spot311 Interface,Construction/Permitting- ROW,1
Mail,Sign - New,1
Mobile Device,Pet Resource Center - Assistance Request,1
Mobile Device,WPD - Watershed Grow Zone Issues,1
Web,Corridor Program Office - Corridor Feedback,1
E-Mail,Found Animal - Pick Up,1
Field Request,ARR Street Sweeping,1
Mobile Device,APH - Community Connections Coronavirus,1
Mass Entry,Public Health - Graffiti Abatement,1
Mobile Created,SBO - Street and Bridge Miscellaneous,1
CSR - Follow On SR,Aquatics Hotline Inquiry,1
Mobile Created,Flooding Current (Non-Emergency),1
Other,SBO - Debris in Street,1
Voice Mail,ATD - Speed Management,1
Other,Loose Dog,1
CSR - Follow On SR,Animal In Vehicle,1
Mobile Created,Sign - Traffic Sign Maintenance,1
Open311,311 CRIS - City Vehicle Report,1
Mobile Created,AW - Water Waste Report,1
Open311,AE Street Light Issue - Address,1
E-Mail,WPD - Watershed Grow Zone Issues,1
Mobile Created,DSD - Environmental Complaint,1
Mobile Device,ARR - Recycling,1
CSR - Follow On SR,Austin Code - Coronavirus,1
Web,ARR - General,1
Social Media,TARA - Telecommunication Complaint,1
E-Mail,SBO - Alley & Unpaved Street Maintenance,1
E-Mail,Street Resurfacing Inquiry,1
CSR - Follow On SR,Ditch/Driveway Pipe Services,1
E-Mail,ARR - Pet Search,1
Mobile Device,Animal Protection - Animal In Vehicle,1
Other,Speed Management,1
E-Mail,Ditch/Driveway Pipe Services,1
Open311,Injured / Sick Animal,1
CSR - Follow On SR,Creek & Pond Vegetation Control,1
Other,WPD - Channels/Creek/Drainage Issues,1
Spot311 Interface,Bridge Repair,1
External Interface,Parking Violation Enforcement,1
CSR - Follow On SR,Dockless Mobility,1
Other,Animal Protection - Animal Proper Care,1
Other,ACD - Request Code Officer,1
Open311,ARR - Dead Animal Collection,1
E-Mail,Zz_ATD - Construction Items in Right of Way,1
External Interface,Injured / Sick Animal,1
Other,DSD - Environmental Complaint,1
Phone,DSD - Private Hauler License Violation,1
E-Mail,WPD - Flooding Current,1
Mobile Created,Bicycle Issues,1
CSR - Follow On SR,Channels/Creeks/Drainage Easement,1
Spot311 Interface,DSD - Construction Rest Break Complaint,1
Web,ZZ ARR - Storm Debris Collection,1
CSR - Follow On SR,Sign - Parking Sign Maintenance,1
Open311,DSD - Outdoor Commercial Venue Music Complaint,1
Other,Austin Code - Signs/Billboards,1
Other,Alley & Unpaved Street Maintenance,1
CSR - Follow On SR,Road Markings/Striping - New,1
Other,AW - Water Conservation Violation,1
